web-scraper-order,web-scraper-start-url,titoli,link,link-href,descr,autor,date,skill
"1611343391-3238","https://www.udemy.com/courses/it-and-software/?lang=it&p=8&sort=newest","","SideFX Houdini - effetto nevicatacome ricreare un effetto nevicata con le Particles di HoudiniMatteo Migliorini2 ore totali10 lezioniIntermedioPrezzo attuale19,99 €","https://www.udemy.com/course/sidefx-houdini-effetto-nevicata/","","","null",""
"1611344199-3562","https://www.udemy.com/courses/it-and-software/?lang=it&p=3&sort=newest","","Microsoft OneDrive - Corso completo sul Web e sul desktopCorso completo e pratico di Onedrive in Microsoft 365, sul Web e desktopFranco IacovelliValutazione: 4,7 su 54,7(19)3 ore totali31 lezioniTutti i livelliPrezzo attuale34,99 €","https://www.udemy.com/course/microsoft-onedrive-for-business/","","Franco Iacovelli","Ultimo aggiornamento 9/2020",""
"1611343958-3458","https://www.udemy.com/courses/it-and-software/?lang=it&p=5&sort=newest","","Corso ECDL/ICDL - Modulo Online EssentialsTeoria e pratica per prepararsi all'esame ICDLGiuseppina ModicaValutazione: 4,2 su 54,2(2)1 ora totale6 lezioniPrincipiantePrezzo attuale39,99 €","https://www.udemy.com/course/corso-ecdlicdl-modulo-online-essentials/","DescrizioneIl secondo modulo della certificazione ICDL illustra i concetti e le competenze essenziali relative a:uso del webuso degli strumenti di navigazioneuso degli strumenti di comunicazioneNel corso troverai:video con la spiegazione teorica e pratica degli argomenti richiesti per la certificazione ICDLtest di valutazione alla fine di ogni moduloschede di supporto alla preparazionetest finale riepilogativo degli elementi trattatiA chi è rivolto questo corso:Studenti che vogliono conseguire la certificazione ICDL Base o Full StandardMostra di piùMostra meno","","Ultimo aggiornamento 7/2020",""
"1611343015-3064","https://www.udemy.com/courses/it-and-software/?lang=it&p=11&sort=newest","","Bitcoin dalla teoria alla pratica - Corso CompletoCorso completo che affronta le tematiche principali del protocollo, mettendo in pratica la teoria utilizzando veri nodiAlessio Barnini, Alessandro AgliettiValutazione: 4,0 su 54,0(9)7 ore totali58 lezioniIntermedioPrezzo attuale99,99 €","https://www.udemy.com/course/bitcoin-blockchain-corso-completo-teoria-pratica-esempi-tutorial/","","Alessandro Aglietti","Ultimo aggiornamento 10/2019",""
"1611343458-3254","https://www.udemy.com/courses/it-and-software/?lang=it&p=8&sort=newest","","Impara ad utilizzare i dispositivi KNX RFImpara ad utilizzare i dispositivi KNX di prossima generazioneDavide Grandeppieno2 ore totali10 lezioniTutti i livelliPrezzo attuale139,99 €","https://www.udemy.com/course/impara-ad-utilizzare-i-dispositivi-knx-rf/","DescrizioneIn questo corso imparerai a programmare i nuovi dispositivi KNX RF, tra i quali troverai un attuatore On/Off, un attuatore Tapparelle/Veneziane ed un Dimmer universale, senza tralasciare il dispositivi che ci consentirà di programmarli e gestirli, il Media Coupler TP->RF .Grazie alla presenza dell'attuatore per tapparelle e del dimmer KNX, potrai inoltre acquisire altre nozioni di base per completare quelle già ottenute dal precedente corso : Da Zero al punto luce con lo Standard KNX . I dispositivi trattati sono KNX Secure ed il Media Coupler gestisce una tabella filtri.Questo corso, inoltre, ti fornirà tutte le informazioni utili e necessarie per programmare anche altri modelli di dispositivi che utilizzano lo Standard KNX RF.Se vorrai mettere in pratica tutto ciò che ti mostrerò in questo Corso, dovrai munirti di un PC Windows con almeno Windows 7, 4 Giga di RAM installata ed un buon processore, poiché il Software ETS5 è piuttosto pesante.All’interno del corso troverai il link per acquistarlo, in modo da farti provare a casa tua lo stesso progetto, rendendo l’apprendimento più esaustivo.Sono inoltre comprese le guide in PDF per vari approfondimenti a corredo dei video.
N.B: questo corso online non concorre e non sostituisce i corsi certificati dell’associazione KNX.A chi è rivolto questo corso:ElettricistiSystem IntegratorProgettistiPeritiIngegneriStudentiArchitettiDesignerGeometriDiplomatiLaureatiAppassionati di TecnologiaAppassionati di DomoticaMostra di piùMostra meno","","Ultimo aggiornamento 3/2020",""
"1611344279-3590","https://www.udemy.com/courses/it-and-software/?lang=it&p=3&sort=newest","","Corso GIS AvanzatoComprendere e manipolare i dati RASTER con QGISMassimiliano MoracaValutazione: 4,5 su 54,5(22)4 ore totali42 lezioniEspertoPrezzo attuale79,99 €","https://www.udemy.com/course/corso-gis-avanzato/","","","Ultimo aggiornamento 11/2020","Cosa impareraiAvere una piena comprensione di cosa sono i RASTERApprendere come manipolare i RASTERApprendere le più comuni tecniche di interpolazioneApprendere come estrarre dati morfologiciUsare tecniche di Map Algebra"
"1611343184-3140","https://www.udemy.com/courses/it-and-software/?lang=it&p=10&sort=newest","","Da Zero al punto luce con lo Standard KNXUn mini-corso che mira principalmente alla praticità...Davide GrandeppienoValutazione: 4,4 su 54,4(8)5 ore totali10 lezioniIntermedioPrezzo attuale159,99 €","https://www.udemy.com/course/crea-un-punto-luce-con-lo-standard-knx/","","Davide Grandeppieno","Ultimo aggiornamento 8/2019",""
"1611343053-3076","https://www.udemy.com/courses/it-and-software/?lang=it&p=11&sort=newest","","Microsoft Excel 2019 - Corso completo dai fondamentaliCorso completo e pratico di Excel 2019 con certificazione finale. Valido in Microsoft 365, Office 2019 o copia unicaFranco IacovelliValutazione: 4,5 su 54,5(394)11 ore totali78 lezioniTutti i livelliPrezzo attuale129,99 €Best seller","https://www.udemy.com/course/video-corso-microsoft-excel/","","Franco Iacovelli","Ultimo aggiornamento 7/2019",""
"1611342828-2984","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","","JOOMLA POWER 4: SVILUPPA SITI INTERNET PROFESSIONALI ORATutto Su ""SlideShow"", Vetrine E Caroselli + Statistiche E Metriche Del Tuo Sito: Come Fare? + Altri 3 BONUS Gratis...VideoRipetizioni | Leonardo Ok ™Valutazione: 4,8 su 54,8(9)2 ore totali14 lezioniIntermedioPrezzo attuale129,99 €","https://www.udemy.com/course/joomla-power-pro-4-sviluppa-siti-internet-professionali-ora-online-jpp/","","","null",""
"1611342952-3042","https://www.udemy.com/courses/it-and-software/?lang=it&p=11&sort=newest","Bitcoin dalla teoria alla pratica - sezione Blockchain","","","","","null",""
